company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ABB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
ABB,con,CON_FALLBACK_VALUATION,Elevated price-to-earnings valuation leaves limited margin of safety for future earnings misses,75
ADANIENSOL,pro,PRO_FALLBACK_PAT,Consistently profitable operation generates baseline positive earnings,70
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
ADANIENSOL,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIPORTS,con,CON_FALLBACK_VALUATION,Elevated price-to-earnings valuation leaves limited margin of safety for future earnings misses,75
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
ADANIPOWER,con,CON_FALLBACK_VALUATION,Elevated price-to-earnings valuation leaves limited margin of safety for future earnings misses,75
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
AMBUJACEM,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,90
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,85
APOLLOHOSP,con,CON_FALLBACK_VALUATION,Elevated price-to-earnings valuation leaves limited margin of safety for future earnings misses,75
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,85
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ATGL,con,CON_FALLBACK_VALUATION,Elevated price-to-earnings valuation leaves limited margin of safety for future earnings misses,75
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
AXISBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,85
BAJAJ-AUTO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BAJAJHLDNG,pro,PRO_02_SUB,Strong free cash flow generation over recent years signals healthy business fundamentals,80
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,85
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
BAJAJHLDNG,con,CON_FALLBACK_GENERIC,Cyclical industry exposure and vulnerability to macroeconomic growth fluctuations,65
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,85
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BEL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
